name,message
大花狸哈哈哈,祝福小公主宝宝生日快乐，健康成长！[鲜花][鲜花][鲜花][心][心][喵喵][喵喵][蛋糕][蛋糕][干杯][干杯][音乐][音乐]
tina_920icz,㊗小茉莉健康快乐成长[抱一抱][抱一抱][抱一抱]
Peck林从,期待你的作品
Peck林从,小茉莉百日快乐[彩虹屁]
哪吒他爹李静,突然不喜欢你了[允悲]
光明县村口蘑菇头,小茉莉百日快乐哦！[哇]
人生若梦forever,小公主百日啦
爱之梦你的样子,🎉🎉小公主百日快乐！快快乐乐茁壮成长每一天！🎉🎉
胡同小巷里的喵喵,早安[心]
胡歌的老婆哟,老公 愿 你与你所爱之人 余生 平安喜乐 [爱你]
胡同小巷里的喵喵,晚安[心]好梦[心]
檐角的猫不吃鱼,[报税][报税][报税]预祝一个儿孙满堂[举杠铃][举杠铃][举杠铃]
蓝皮鼠和大脸猫v,从06年一直喜欢你，喜欢你16年了！
光明县村口蘑菇头,你是我白开水一样淡的日子里偷偷加的一块糖@胡歌
小彭上岸吧,预约一下综艺：爸爸去哪儿，爸爸回来啦[二哈][二哈][二哈]
我是丁丁k,恭喜恭喜[打call]
shirkty,恭喜恭喜
水逆退散吧会飞的兔子精,多拍剧啊，哥哥[作揖]
光明县村口蘑菇头,云端之上，你柔软的像风，花海深处，你温暖的像阳@胡歌
罗曼天明星,祝你一切安好！
Aaa苏皖沫,恭喜
金金mylove,爱你[心]
胡同小巷里的喵喵,[爱你][爱你]
桃跑小哭包,[爱你]
光明县村口蘑菇头,早安@胡歌 ，今天有没有陪小公主啊[哇]
赢璃8023,早上好 老大 祝我生日快乐[友幸]
老胡家的儿童,老胡多多营业哦赚奶粉钱
海绵宝宝的好朋友默,愿你所爱之人，余生平安喜乐
幸-小乖,就是传说中的胡嫂不怎么样 可惜了 神仙姐姐才配得上你 小助理太倒架子了 哥
竹松林D,和我的铁牛差不多时候出生呀
SITUMO2006,恭喜胡歌[打call][打call]
Linneuy,恭喜
g微得不像话,彭于晏：你们演我，说不结婚就我当真了[笑cry]
芋圆1983,祝福逍遥哥哥，也给我的青春画上了序幕
一颗橙橘丶,今天再来说一遍，老大，恭喜！！希望你永远幸福！
橘柚qian,[打call]
守护天使1717,天使环绕，让人很安心！[心][心]
守护天使1717,宝宝:惟愿你永远幸福甜蜜！[抱一抱][抱一抱]
超喜欢吃蛋糕面包饼干巧克力,胡歌胡歌
Akaya_9,迟来的恭喜🎉
车靖越,恭喜
月ye兔_,偷偷生个娃，然后惊艳所有人
Stickwithyourself,喜欢了14年的胡歌，祝你幸福
韩涵吖-,新粉报道
简JIAN-,歌歌[送花花]
打哈蒨,[打call][打call][打call]
雪痕70577,这可真是盖了帽了我的老北鼻
胡同小巷里的喵喵,愿你永远幸福快乐[心]
